,"2020","2020","2020","2019","2019","2019","2018","2018","2018","2017","2017","2017","2016","2016","2016","2015","2015","2015","2014","2014","2014","2013","2013","2013","2012","2012","2012","2011","2011","2011","2010","2010","2010","2009","2009","2009","2008","2008","2008","2007","2007","2007","2006","2006","2006","2005","2005","2005","2004","2004","2004","2003","2003","2003","2002","2002","2002","2001","2001","2001","2000","2000","2000"
,"Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)"
"Country","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural"
"Bangladesh","58","66","54","55","64","50","52","62","46","48","60","42","45","58","38","42","55","35","38","53","31","35","51","27","31","49","23","28","47","19","24","45","15","21","43","11","21","43","11","20","43","11","20","43","11","20","43","11","","","","","","","","","","","","","","",""
"Barbados","","","","","","","","","","","","","88","","","88","","","88","","","88","","","88","","","88","","","88","","","88","","","88","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belarus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belize","90","92","89","90","92","89","90","92","89","89","91","88","89","89","88","88","88","88","87","86","87","86","85","87","85","83","87","84","82","86","83","80","86","83","79","86","83","79","86","83","79","86","83","79","86","83","79","86","","","","","","","","","","","","","","",""
"Benin","12","17","8","11","16","7","11","15","7","10","15","7","10","14","6","9","13","6","9","13","5","8","12","5","8","12","4","7","11","4","6","10","4","6","10","3","5","9","3","5","9","2","4","8","2","4","7","1","3","7","1","3","6","0","2","5","0","2","5","0","2","4","0"
"Anguilla","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bhutan","92","89","93","91","89","92","89","89","90","88","89","88","87","88","86","86","88","84","84","88","82","83","88","81","82","87","79","81","87","77","79","87","75","78","87","73","76","86","71","76","86","71","76","86","71","76","86","71","76","86","71","","","","","","","","","","","",""
"Bolivia (Plurinational State of)","27","29","22","27","29","22","27","29","22","27","29","22","27","29","22","27","29","22","27","29","22","27","29","22","27","29","22","27","29","22","27","29","22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bosnia and Herzegovina","","","","","","","","","","","","","97","99","96","97","99","96","97","99","96","97","99","96","97","99","96","97","99","96","97","99","96","97","99","96","97","99","96","","","","","","","","","","","","","","","","","","","","","","","",""
"Botswana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Brazil","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Brunei Darussalam","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bulgaria","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Burkina Faso","9","17","5","9","17","5","9","18","5","9","18","5","9","19","5","9","19","5","9","20","5","9","20","5","9","21","4","9","21","4","8","21","4","8","22","4","8","22","4","8","23","4","8","23","4","8","24","4","8","24","4","8","24","3","7","25","3","7","25","3","7","25","3"
"Burundi","6","19","4","6","19","4","6","20","4","6","20","4","6","21","4","6","21","4","6","22","4","6","22","4","6","23","4","6","23","4","6","24","4","6","24","4","6","24","4","6","24","4","6","24","4","6","24","4","6","24","4","","","","","","","","","","","",""
