countriesAndTerritories;cases;deaths;popData2019
Afghanistan;49273;1971;38041757
Albania;48460;1001;2862427
Algeria;92102;2596;43053054
Andorra;7150;79;76177
Angola;16180;369;31825299
Anguilla;7;0;14872
Antigua_and_Barbuda;141;4;97115
Argentina;1498063;40764;44780675
Armenia;148682;2503;2957728
Aruba;4987;46;106310
Australia;28031;908;25203200
Austria;320036;4400;8858775
Azerbaijan;175874;1922;10047719
Bahamas;7660;163;389486
Bahrain;89143;348;1641164
Bangladesh;490485;7047;163046173
Barbados;259;7;287021
Belarus;160295;1263;9452409
Belgium;608001;17951;11455519
Belize;9291;195;390351
Benin;3180;43;11801151
Bermuda;399;9;62508
Bhutan;435;0;763094
Bolivia;147118;9018;11513102
Bonaire, Saint Eustatius and Saba;169;3;25983
Bosnia_and_Herzegovina;100953;3334;3300998
Botswana;12488;36;2303703
Brazil;6901952;181402;211049519
British_Virgin_Islands;73;1;30033
Brunei_Darussalam;64;3;433296
Bulgaria;179286;5685;7000039
Burkina_Faso;3931;68;20321383
Burundi;724;1;11530577
Cambodia;359;0;16486542
Cameroon;25071;442;25876387
Canada;460743;13431;37411038
Cape_Verde;11351;109;549936
Cayman_Islands;284;1;64948
Central_African_Republic;4931;63;4745179
Chad;1763;102;15946882
Chile;571763;15886;18952035
China;91962;4738;1433783692
Colombia;1425539;39051;50339443
Comoros;617;6;850891
Congo;6045;99;5380504
Costa_Rica;150860;1894;5047561
Cote_dIvoire;21600;133;25716554
Croatia;175886;2640;4076246
Cuba;9356;135;11333484
Cura̤ao;3613;10;163423
Cyprus;14985;78;875899
Czechia;580883;9613;10649800
Democratic_Republic_of_the_Congo;14467;352;86790568
Denmark;109758;941;5806081
Djibouti;5702;61;973557
Dominica;73;0;71808
Dominican_Republic;154692;2361;10738957
Ecuador;214362;9958;17373657
Egypt;121575;6920;100388076
El_Salvador;41848;1205;6453550
Equatorial_Guinea;5173;85;1355982
Eritrea;689;0;3497117
Estonia;18055;149;1324820
Eswatini;6762;127;1148133
Ethiopia;116757;1806;112078727
Falkland_Islands_(Malvinas);8;0;3372
Faroe_Islands;510;0;48677
Fiji;41;2;889955
Finland;30810;453;5517919
France;2377618;57804;67012883
French_Polynesia;15582;91;279285
Gabon;9324;62;2172578
Gambia;3779;122;2347696
Georgia;191063;1839;3996762
Germany;1337078;21975;83019213
Ghana;52946;324;30417858
Gibraltar;1006;5;33706
Greece;124534;3625;10724599
Greenland;9;0;56660
Grenada;57;0;112002
Guam;7046;117;167295
Guatemala;129257;4422;17581476
Guernsey;229;13;64468
Guinea;13415;79;12771246
Guinea_Bissau;2411;44;1920917
Guyana;5915;154;782775
Haiti;9550;234;11263079
Holy_See;21;0;815
Honduras;114307;2975;9746115
Hungary;283820;7129;9772756
Iceland;5557;28;356991
India;9884100;143355;1366417756
Indonesia;617820;18819;270625567
Iran;1108269;52196;82913893
Iraq;574634;12579;39309789
Ireland;75719;2129;4904240
Isle_of_Man;305;25;84589
Israel;357859;2999;8519373
Italy;1843283;64504;60359546
Jamaica;11689;272;2948277
Japan;179653;2585;126860299
Jersey;1704;30;107796
Jordan;259492;3365;10101697
Kazakhstan;186157;2552;18551428
Kenya;91867;1587;52573967
Kosovo;46291;1209;1798506
Kuwait;146218;911;4207077
